INSPIREID;NATCODE;NAMEUNIT;CODNUT1;CODNUT2;CODNUT3;CODIGOINE;Shape__Are;Shape__Len;AREA_MPIO
ES.IGN.SIGLIM34024444160;34024444160;Mosqueruela;ES2;ES24;ES242;44160;457383804,490000009536743;110551,966778000001796;265,031156409999994
ES.IGN.SIGLIM34024444165;34024444165;Nogueruelas;ES2;ES24;ES242;44165;171001893,594000011682510;70580,363908400002401;99,488581282200002
ES.IGN.SIGLIM34024444171;34024444171;Olba;ES2;ES24;ES242;44171;35934117,764600001275539;23801,784114499998395;20,986267915799999
ES.IGN.SIGLIM34024444178;34024444178;Las Parras de Castellote;ES2;ES24;ES242;44178;73529946,463300004601479;37150,599587899996550;42,132921186099999
ES.IGN.SIGLIM34024444179;34024444179;Peñarroya de Tastavins;ES2;ES24;ES242;44179;145247419,453000009059906;61751,685675200002152;83,281551300199993
ES.IGN.SIGLIM34024444193;34024444193;Puertomingalvo;ES2;ES24;ES242;44193;178294083,351999998092651;64556,243973500000720;103,620135270999995
ES.IGN.SIGLIM34024444196;34024444196;Riodeva;ES2;ES24;ES242;44196;58805282,081500001251698;39436,144420199998422;34,342017950799999
ES.IGN.SIGLIM34024444206;34024444206;San Agustín;ES2;ES24;ES242;44206;96768053,231000006198883;52584,889284700002463;56,573521855899997
ES.IGN.SIGLIM34024444218;34024444218;Tormón;ES2;ES24;ES242;44218;50368411,548000000417233;30972,774169799999072;29,344404958199998
ES.IGN.SIGLIM34024444223;34024444223;Torre de Arcas;ES2;ES24;ES242;44223;59808873,354599997401237;34302,335304899999755;34,278743671000001
ES.IGN.SIGLIM34024444231;34024444231;Torrijas;ES2;ES24;ES242;44231;97851863,499099999666214;48385,854527499999676;57,336979514399999
ES.IGN.SIGLIM34024444234;34024444234;Tramacastiel;ES2;ES24;ES242;44234;81157121,258399993181229;43850,005389099998865;47,293708159900000
ES.IGN.SIGLIM34024444236;34024444236;Tronchón;ES2;ES24;ES242;44236;99206553,866999998688698;47828,519371700000193;57,109430571200001
ES.IGN.SIGLIM34024444246;34024444246;Valderrobres;ES2;ES24;ES242;44246;217019841,553999990224838;108204,081309000001056;124,037451236999999
ES.IGN.SIGLIM34024444250;34024444250;Veguillas de la Sierra;ES2;ES24;ES242;44250;23420401,942800000309944;23924,613567799999146;13,667197935500001
ES.IGN.SIGLIM34024444260;34024444260;Villarluengo;ES2;ES24;ES242;44260;274622293,606000006198883;107803,816114000001107;157,890349127999997
ES.IGN.SIGLIM34100303058;34100303058;Cox;ES5;ES52;ES521;03058;27058752,712799999862909;45492,481917700002668;16,709694807900000
ES.IGN.SIGLIM34100303059;34100303059;Crevillent;ES5;ES52;ES521;03059;169721932,266000002622604;65155,641111500000989;104,550040096999993
ES.IGN.SIGLIM34100303060;34100303060;Quatretondeta;ES5;ES52;ES521;03060;27480671,297400001436472;23438,226479400000244;16,705295242399998
ES.IGN.SIGLIM34100303061;34100303061;Daya Nueva;ES5;ES52;ES521;03061;11476052,591600000858307;14027,951175399999556;7,093405809350000
ES.IGN.SIGLIM34100303062;34100303062;Daya Vieja;ES5;ES52;ES521;03062;5083334,660980000160635;9297,141769739999290;3,142379410020000
ES.IGN.SIGLIM34100303063;34100303063;Dénia;ES5;ES52;ES521;03063;109709630,123999997973442;117120,266086000003270;66,492658809999995
ES.IGN.SIGLIM34100303064;34100303064;Dolores;ES5;ES52;ES521;03064;30279640,328200001269579;27095,408359299999574;18,701739368500000
ES.IGN.SIGLIM34100303065;34100303065;Elche/Elx;ES5;ES52;ES521;03065;530211695,378000020980835;117050,235281999994186;326,501620450000019
ES.IGN.SIGLIM34100303066;34100303066;Elda;ES5;ES52;ES521;03066;74823826,685800001025200;39067,283456600001955;45,789794410100001
ES.IGN.SIGLIM34100303067;34100303067;Facheca;ES5;ES52;ES521;03067;16744755,385900000110269;20220,109849399999803;10,174676415100000
ES.IGN.SIGLIM34100303068;34100303068;Famorca;ES5;ES52;ES521;03068;16002613,086600000038743;16586,872690399999556;9,724120381460001
ES.IGN.SIGLIM34100303069;34100303069;Finestrat;ES5;ES52;ES521;03069;69210157,735599994659424;37840,526658399998269;42,238610221899997
ES.IGN.SIGLIM34100303070;34100303070;Formentera del Segura;ES5;ES52;ES521;03070;7005933,144650000147521;16453,599171300000307;4,332263174910000
ES.IGN.SIGLIM34100303071;34100303071;Gata de Gorgos;ES5;ES52;ES521;03071;33494860,360300000756979;25718,118039199998748;20,332228678000000
ES.IGN.SIGLIM34100303072;34100303072;Gaianes;ES5;ES52;ES521;03072;15788406,704399999231100;16035,010801599999468;9,571209728580000
ES.IGN.SIGLIM34100303073;34100303073;Gorga;ES5;ES52;ES521;03073;14982838,545900000259280;24339,882898100000602;9,106559613210001
ES.IGN.SIGLIM34100303074;34100303074;Granja de Rocamora;ES5;ES52;ES521;03074;11612348,198300000280142;52460,580407800000103;7,168872629270000
ES.IGN.SIGLIM34100303075;34100303075;el Castell de Guadalest;ES5;ES52;ES521;03075;26234261,052099999040365;27097,718885700000101;15,968163058500000
ES.IGN.SIGLIM34100303076;34100303076;Guardamar del Segura;ES5;ES52;ES521;03076;54860225,733599998056889;42049,942688000002818;33,937118407200003
ES.IGN.SIGLIM34100303077;34100303077;el Fondó de les Neus/Hondón de las Nieves;ES5;ES52;ES521;03077;111993835,665999993681908;46889,632516300000134;68,851502271399994
ES.IGN.SIGLIM34100303078;34100303078;Hondón de los Frailes;ES5;ES52;ES521;03078;20385318,932999998331070;19007,382766200000333;12,545767635600001
ES.IGN.SIGLIM34100303079;34100303079;Ibi;ES5;ES52;ES521;03079;102594834,809000000357628;39573,135576400003629;62,525468104200002
ES.IGN.SIGLIM34100303080;34100303080;Jacarilla;ES5;ES52;ES521;03080;19711436,376899998635054;23447,211278700000548;12,204191257500000
ES.IGN.SIGLIM34100303081;34100303081;Xaló;ES5;ES52;ES521;03081;56888313,123899996280670;40420,395211700000800;34,585884045299998
ES.IGN.SIGLIM34100303082;34100303082;Jávea/Xàbia;ES5;ES52;ES521;03082;113462314,348000004887581;73159,222220700001344;68,875666141500005
ES.IGN.SIGLIM34100303083;34100303083;Jijona/Xixona;ES5;ES52;ES521;03083;268160623,405000001192093;87086,857651700003771;163,761191470999989
ES.IGN.SIGLIM34100303084;34100303084;Lorcha/l'Orxa;ES5;ES52;ES521;03084;52448816,889899998903275;31609,133535500001017;31,765376234500000
ES.IGN.SIGLIM34100303085;34100303085;Llíber;ES5;ES52;ES521;03085;36093890,562600001692772;34557,929884800003492;21,933417521799999
ES.IGN.SIGLIM34100303086;34100303086;Millena;ES5;ES52;ES521;03086;16086549,235999999567866;20771,939089999999851;9,772488852050000
ES.IGN.SIGLIM34100303088;34100303088;Monforte del Cid;ES5;ES52;ES521;03088;129624490,500000000000000;51485,603524099999049;79,522182535599995
ES.IGN.SIGLIM34100303089;34100303089;Monóvar/Monòver;ES5;ES52;ES521;03089;248642211,585999995470047;70209,442932999998447;152,354941864000011
ES.IGN.SIGLIM34100303090;34100303090;Mutxamel;ES5;ES52;ES521;03090;77885039,400800004601479;44665,977467400000023;47,716250073900000
ES.IGN.SIGLIM34100303091;34100303091;Murla;ES5;ES52;ES521;03091;9576321,216789999976754;15169,158286100000623;5,813425020160000
ES.IGN.SIGLIM34100303092;34100303092;Muro de Alcoy;ES5;ES52;ES521;03092;49852662,627899996936321;39960,509275900003558;30,244161984200002
ES.IGN.SIGLIM34100303093;34100303093;Novelda;ES5;ES52;ES521;03093;123465228,835999995470047;54278,850946200000180;75,724206965700006
ES.IGN.SIGLIM34100303094;34100303094;la Nucia;ES5;ES52;ES521;03094;35029186,800099998712540;39527,582969499999308;21,362204719099999
ES.IGN.SIGLIM34100303095;34100303095;Ondara;ES5;ES52;ES521;03095;17183271,303199999034405;25755,900519800001348;10,413622826899999
ES.IGN.SIGLIM34100303096;34100303096;Onil;ES5;ES52;ES521;03096;79451700,074200004339218;43138,620786300001782;48,409700349100000
ES.IGN.SIGLIM34100303097;34100303097;Orba;ES5;ES52;ES521;03097;29221170,055300001055002;33609,056957499997225;17,729586620999999
ES.IGN.SIGLIM34100303098;34100303098;Orxeta;ES5;ES52;ES521;03098;39405628,808100000023842;38519,398000200002571;24,062758329600001
ES.IGN.SIGLIM34100303099;34100303099;Orihuela;ES5;ES52;ES521;03099;590504751,179999947547913;297557,937182999972720;365,415292029000000
ES.IGN.SIGLIM34100303100;34100303100;Parcent;ES5;ES52;ES521;03100;19374430,616799999028444;19266,475064199999906;11,770203083800000
ES.IGN.SIGLIM34100303101;34100303101;Pedreguer;ES5;ES52;ES521;03101;48770491,440099999308586;31948,635267199999362;29,583959318200002
ES.IGN.SIGLIM34100303102;34100303102;Pego;ES5;ES52;ES521;03102;87245356,324300006031990;43269,389716099998623;52,848712283499999
ES.IGN.SIGLIM34100303103;34100303103;Penàguila;ES5;ES52;ES521;03103;81994205,449399992823601;61403,358214599997154;49,924572340200001
ES.IGN.SIGLIM34100303104;34100303104;Petrer;ES5;ES52;ES521;03104;170173479,601999998092651;55947,013737200002652;104,090768531999998
ES.IGN.SIGLIM34100303105;34100303105;el Pinós/Pinoso;ES5;ES52;ES521;03105;206318873,983999997377396;76155,711468699999386;126,477619802000007
ES.IGN.SIGLIM34100303106;34100303106;Planes;ES5;ES52;ES521;03106;64072667,497000001370907;35914,766544600002817;38,867499318900002
ES.IGN.SIGLIM34100303107;34100303107;Polop;ES5;ES52;ES521;03107;37042258,873800002038479;28863,586826899998414;22,577590430000001
ES.IGN.SIGLIM34100303109;34100303109;Rafal;ES5;ES52;ES521;03109;2624278,518370000179857;8109,132201909999822;1,622200029860000
ES.IGN.SIGLIM34100303110;34100303110;el Ràfol d'Almúnia;ES5;ES52;ES521;03110;8049479,000160000286996;16541,260117099998752;4,877710203770000
ES.IGN.SIGLIM34100303111;34100303111;Redován;ES5;ES52;ES521;03111;15290196,384299999102950;29177,379823899998883;9,447706739470000
ES.IGN.SIGLIM34100303112;34100303112;Relleu;ES5;ES52;ES521;03112;125949368,767000004649162;52131,005682100003469;76,872187718099994
ES.IGN.SIGLIM34100303113;34100303113;Rojales;ES5;ES52;ES521;03113;45072638,698299996554852;47290,818584799999371;27,886739734199999
ES.IGN.SIGLIM34100303114;34100303114;la Romana;ES5;ES52;ES521;03114;70512721,811900004744530;40651,859532299997227;43,293442527000003
ES.IGN.SIGLIM34100303115;34100303115;Sagra;ES5;ES52;ES521;03115;9270001,636059999465942;14992,589056599999822;5,619282532550000
ES.IGN.SIGLIM34100303116;34100303116;Salinas;ES5;ES52;ES521;03116;100933447,027999997138977;41057,314172400001553;61,711714054600002
ES.IGN.SIGLIM34100303117;34100303117;Sanet y Negrals;ES5;ES52;ES521;03117;6502258,593410000205040;10342,270504100000835;3,941817052160000
ES.IGN.SIGLIM34100303118;34100303118;San Fulgencio;ES5;ES52;ES521;03118;33506560,214800000190735;26612,497574699998950;20,701294053000002
ES.IGN.SIGLIM34100303119;34100303119;Sant Joan d'Alacant;ES5;ES52;ES521;03119;15617439,898499999195337;17800,999738099999377;9,575843377669999
ES.IGN.SIGLIM34100303120;34100303120;San Miguel de Salinas;ES5;ES52;ES521;03120;88407018,884599998593330;37568,740197500002978;54,844375495900003
ES.IGN.SIGLIM34100303121;34100303121;Santa Pola;ES5;ES52;ES521;03121;94442060,993200004100800;60496,757799899998645;58,226447446100003
ES.IGN.SIGLIM34100303122;34100303122;San Vicente del Raspeig/Sant Vicent del Raspeig;ES5;ES52;ES521;03122;66175109,791400000452995;49279,972804800003360;40,550363320700001
ES.IGN.SIGLIM34100303123;34100303123;Sax;ES5;ES52;ES521;03123;103948016,881999999284744;40265,578918599996541;63,484102333700001
ES.IGN.SIGLIM34100303124;34100303124;Sella;ES5;ES52;ES521;03124;63524486,367600001394749;37629,752089399997203;38,721784260100002
ES.IGN.SIGLIM34100303125;34100303125;Senija;ES5;ES52;ES521;03125;7877812,367479999549687;14241,421637800000099;4,786504118750000
ES.IGN.SIGLIM34100303127;34100303127;Tàrbena;ES5;ES52;ES521;03127;52085538,377800002694130;36733,805028100003256;31,670644095000000
ES.IGN.SIGLIM34100303128;34100303128;Teulada;ES5;ES52;ES521;03128;53155433,151600003242493;41566,488218500002404;32,317091730500003
ES.IGN.SIGLIM34100303129;34100303129;Tibi;ES5;ES52;ES521;03129;115158720,200000002980232;45686,553289499999664;70,382965987600002
ES.IGN.SIGLIM34100303130;34100303130;Tollos;ES5;ES52;ES521;03130;26311645,708799999207258;24883,983370900001319;15,974206734199999
ES.IGN.SIGLIM34100303131;34100303131;Tormos;ES5;ES52;ES521;03131;8828781,979949999600649;18531,270254399998521;5,353969495500000
ES.IGN.SIGLIM34100303132;34100303132;Torremanzanas/la Torre de les Maçanes;ES5;ES52;ES521;03132;59824629,071800000965595;38331,737171100001433;36,479725602099997
ES.IGN.SIGLIM34100303133;34100303133;Torrevieja;ES5;ES52;ES521;03133;115546518,262999996542931;60389,078203400000348;71,630613337400007
ES.IGN.SIGLIM34100303134;34100303134;la Vall d'Alcalà;ES5;ES52;ES521;03134;37664402,134499996900558;31509,536274900001445;22,850345555299999
ES.IGN.SIGLIM34100303135;34100303135;la Vall d'Ebo;ES5;ES52;ES521;03135;53465936,291299998760223;30901,169023900001775;32,425822462200003
ES.IGN.SIGLIM34100303136;34100303136;Vall de Gallinera;ES5;ES52;ES521;03136;88506880,121800005435944;46445,070261599998048;53,634024303399997
ES.IGN.SIGLIM34100303137;34100303137;la Vall de Laguar;ES5;ES52;ES521;03137;37987051,977700002491474;31262,097765899998194;23,054637379900001
ES.IGN.SIGLIM34100303138;34100303138;el Verger;ES5;ES52;ES521;03138;13472214,452199999243021;17413,090030399998795;8,159154384940001
ES.IGN.SIGLIM34100303139;34100303139;Villajoyosa/la Vila Joiosa;ES5;ES52;ES521;03139;96321360,547099992632866;55194,054261600002064;58,870398166199998
ES.IGN.SIGLIM34100303140;34100303140;Villena;ES5;ES52;ES521;03140;566830080,687999963760376;124055,628737999999430;345,360826821999979
ES.IGN.SIGLIM34100303901;34100303901;els Poblets;ES5;ES52;ES521;03901;5966880,508709999732673;10986,994639799999277;3,613312120510000
ES.IGN.SIGLIM34100303902;34100303902;Pilar de la Horadada;ES5;ES52;ES521;03902;125220104,862000003457069;59677,640663899997890;77,839015446199994
ES.IGN.SIGLIM34100303903;34100303903;Los Montesinos;ES5;ES52;ES521;03903;24294696,322999998927116;26723,817550799998571;15,051329405400001
ES.IGN.SIGLIM34100303904;34100303904;San Isidro;ES5;ES52;ES521;03904;18960407,255199998617172;20301,120442600000388;11,698830384600001
ES.IGN.SIGLIM34101212001;34101212001;Atzeneta del Maestrat;ES5;ES52;ES522;12001;122234239,494000002741814;71874,793387500001700;71,156368952500003
ES.IGN.SIGLIM34101212002;34101212002;Aín;ES5;ES52;ES522;12002;20902494,544399999082088;21871,471580400000676;12,289452545800000
ES.IGN.SIGLIM34101212003;34101212003;Albocàsser;ES5;ES52;ES522;12003;141943561,939000010490417;61781,003795299999183;82,294513043699993
ES.IGN.SIGLIM34101212004;34101212004;Alcalà de Xivert;ES5;ES52;ES522;12004;288308268,504999995231628;85261,884455099992920;167,533137259000000
ES.IGN.SIGLIM34101212005;34101212005;l'Alcora;ES5;ES52;ES522;12005;162216358,199000000953674;59612,718794499996875;94,898693898199994
ES.IGN.SIGLIM34101212006;34101212006;Alcudia de Veo;ES5;ES52;ES522;12006;52183830,617499999701977;41925,960835999998380;30,657055545300000
ES.IGN.SIGLIM34101212007;34101212007;Alfondeguilla;ES5;ES52;ES522;12007;48103985,131499998271465;33842,859845899998618;28,327583431400001
ES.IGN.SIGLIM34101212008;34101212008;Algimia de Almonacid;ES5;ES52;ES522;12008;34604688,888700000941753;28314,119374900001276;20,332812303499999
ES.IGN.SIGLIM34104646204;34104646204;el Puig de Santa Maria;ES5;ES52;ES523;46204;45200162,691299997270107;38065,924255199999607;26,801767011100001
ES.IGN.SIGLIM34104646205;34104646205;Puçol;ES5;ES52;ES523;46205;30430492,642099998891354;25904,412890899999184;18,034093227000000
ES.IGN.SIGLIM34104646206;34104646206;Quesa;ES5;ES52;ES523;46206;121658881,510000005364418;87672,463366500000120;73,158272507000007
ES.IGN.SIGLIM34104646207;34104646207;Rafelbunyol;ES5;ES52;ES523;46207;7080007,235700000077486;15917,834123000000545;4,198527008820000
ES.IGN.SIGLIM34104646208;34104646208;Rafelcofer;ES5;ES52;ES523;46208;3365324,043039999902248;8285,317005529999733;2,033403347920000
ES.IGN.SIGLIM34104646209;34104646209;Rafelguaraf;ES5;ES52;ES523;46209;27001106,643300000578165;37466,884578500001226;16,261864159300000
ES.IGN.SIGLIM34104646210;34104646210;Ráfol de Salem;ES5;ES52;ES523;46210;7144591,801160000264645;16080,758881300000212;4,325289907310000
ES.IGN.SIGLIM34104646211;34104646211;el Real de Gandia;ES5;ES52;ES523;46211;10053326,867699999362230;14709,727997800000594;6,072088762100000
ES.IGN.SIGLIM34104646212;34104646212;Real;ES5;ES52;ES523;46212;30636661,836599998176098;28996,998700299998745;18,314563307099998
ES.IGN.SIGLIM34104646213;34104646213;Requena;ES5;ES52;ES523;46213;1366787650,579999923706055;186014,856719000003068;814,204126539999947
ES.IGN.SIGLIM34104646214;34104646214;Riba-roja de Túria;ES5;ES52;ES523;46214;96731171,553100004792213;56572,536608900001738;57,486319843399997
ES.IGN.SIGLIM34104646215;34104646215;Riola;ES5;ES52;ES523;46215;9317137,553020000457764;18892,913502499999595;5,589315521250000
ES.IGN.SIGLIM34104646216;34104646216;Rocafort;ES5;ES52;ES523;46216;3940476,930879999883473;13402,489343299999746;2,340777639600000
ES.IGN.SIGLIM34104646217;34104646217;Rotglà i Corberà;ES5;ES52;ES523;46217;10399133,308299999684095;33080,617648400002508;6,269750856790000
ES.IGN.SIGLIM34104646218;34104646218;Rótova;ES5;ES52;ES523;46218;12671721,812300000339746;18387,158286300000327;7,655375844330000
ES.IGN.SIGLIM34104646219;34104646219;Rugat;ES5;ES52;ES523;46219;5294919,278490000404418;16382,026535000000877;3,204012657570000
ES.IGN.SIGLIM34104646220;34104646220;Sagunto/Sagunt;ES5;ES52;ES523;46220;224356184,080000013113022;138113,650280000001658;132,683748669000011
ES.IGN.SIGLIM34104646221;34104646221;Salem;ES5;ES52;ES523;46221;14208161,933299999684095;17165,337069000001065;8,605262733920000
ES.IGN.SIGLIM34104646222;34104646222;Sant Joanet;ES5;ES52;ES523;46222;3086072,834150000009686;8670,160407499999565;1,857479596340000
ES.IGN.SIGLIM34104646223;34104646223;Sedaví;ES5;ES52;ES523;46223;3075075,672300000209361;11297,054842699999426;1,832521775510000
ES.IGN.SIGLIM34104646224;34104646224;Segart;ES5;ES52;ES523;46224;11230377,557199999690056;14001,168941600000835;6,643976605160000
ES.IGN.SIGLIM34104646225;34104646225;Sellent;ES5;ES52;ES523;46225;23243902,636799998581409;21720,518606900001032;14,005408448900001
ES.IGN.SIGLIM34104646226;34104646226;Sempere;ES5;ES52;ES523;46226;6328644,941510000266135;15597,086117400000148;3,825566025320000
ES.IGN.SIGLIM34104646227;34104646227;Senyera;ES5;ES52;ES523;46227;3373332,353589999955148;8514,627454490000673;2,030789667880000
ES.IGN.SIGLIM34104646228;34104646228;Serra;ES5;ES52;ES523;46228;96862731,199100002646446;45139,361982599999465;57,294256359899997
ES.IGN.SIGLIM34104646229;34104646229;Siete Aguas;ES5;ES52;ES523;46229;185906417,608000010251999;56216,184509999999136;110,595477356000004
ES.IGN.SIGLIM34104646230;34104646230;Silla;ES5;ES52;ES523;46230;41903549,634999997913837;30706,394613299999037;25,019308288300000
ES.IGN.SIGLIM34104646231;34104646231;Simat de la Valldigna;ES5;ES52;ES523;46231;63891762,809299997985363;43415,529320599998755;38,488314761799998
ES.IGN.SIGLIM34104646232;34104646232;Sinarcas;ES5;ES52;ES523;46232;173527245,909999996423721;60135,501245500003279;102,460929199000006
ES.IGN.SIGLIM34104646233;34104646233;Sollana;ES5;ES52;ES523;46233;65547259,515100002288818;46277,673781600002258;39,219805690900003
ES.IGN.SIGLIM34104646234;34104646234;Sot de Chera;ES5;ES52;ES523;46234;65370220,310699999332428;36808,136829800001578;38,749222450500000
ES.IGN.SIGLIM34104646235;34104646235;Sueca;ES5;ES52;ES523;46235;154381137,719000011682510;69824,605089000004227;92,480960686800003
ES.IGN.SIGLIM34104646236;34104646236;Sumacàrcer;ES5;ES52;ES523;46236;33391153,335000000894070;30249,188332000001537;20,089689863899999
ES.IGN.SIGLIM34104646237;34104646237;Tavernes Blanques;ES5;ES52;ES523;46237;1238422,341800000052899;4865,267108729999563;0,736254748519000
ES.IGN.SIGLIM34104646239;34104646239;Teresa de Cofrentes;ES5;ES52;ES523;46239;184299548,819000005722046;61223,439570499998808;110,804307166000001
ES.IGN.SIGLIM34104646240;34104646240;Terrateig;ES5;ES52;ES523;46240;10441819,641599999740720;17305,104218899999978;6,315510721220000
ES.IGN.SIGLIM34104646241;34104646241;Titaguas;ES5;ES52;ES523;46241;107442059,450000002980232;53582,779151100003219;63,211829393300000
ES.IGN.SIGLIM34104646242;34104646242;Torrebaja;ES5;ES52;ES523;46242;8071639,645630000159144;20701,588216600001033;4,717075740100000
ES.IGN.SIGLIM34104646243;34104646243;Torrella;ES5;ES52;ES523;46243;1896934,490299999946728;18658,855102699999406;1,144458738680000
ES.IGN.SIGLIM34104646244;34104646244;Torrent;ES5;ES52;ES523;46244;116159656,297999992966652;54823,867073900000833;69,234819008599999
ES.IGN.SIGLIM34104646245;34104646245;Torres Torres;ES5;ES52;ES523;46245;19930380,652800001204014;33126,217506599998160;11,772839198400000
ES.IGN.SIGLIM34080202005;34080202005;Alborea;ES4;ES42;ES421;02005;120454577,824000000953674;46911,748512500002107;72,051716597899997
ES.IGN.SIGLIM34080202009;34080202009;Almansa;ES4;ES42;ES421;02009;878013794,034999966621399;119740,662475999997696;531,891857845000004
ES.IGN.SIGLIM34080202010;34080202010;Alpera;ES4;ES42;ES421;02010;295829035,773000001907349;72903,122709799994482;178,473131916999989
ES.IGN.SIGLIM34080202013;34080202013;Balsa de Ves;ES4;ES42;ES421;02013;127529774,821999996900558;51031,685665600001812;76,348643596599999
ES.IGN.SIGLIM34080202020;34080202020;Carcelén;ES4;ES42;ES421;02020;125332604,435000002384186;49385,273538800000097;75,363628466899996
ES.IGN.SIGLIM34080202023;34080202023;Casas de Ves;ES4;ES42;ES421;02023;208879594,312999993562698;87804,461582699994324;125,095486131000001
ES.IGN.SIGLIM34080202024;34080202024;Casas-Ibáñez;ES4;ES42;ES421;02024;172657200,148000001907349;72489,795389899998554;103,218827959999999
ES.IGN.SIGLIM34080202025;34080202025;Caudete;ES4;ES42;ES421;02025;232885379,777000010013580;63632,053466999997909;141,602505385000001
ES.IGN.SIGLIM34104646246;34104646246;Tous;ES5;ES52;ES523;46246;212563549,634999990463257;82025,815359800006263;127,522515693000003
ES.IGN.SIGLIM34104646247;34104646247;Tuéjar;ES5;ES52;ES523;46247;206835522,953000009059906;68042,900818699999945;121,922149395999995
ES.IGN.SIGLIM34104646248;34104646248;Turís;ES5;ES52;ES523;46248;134899266,648000001907349;53811,386481599998660;80,504889805500000
ES.IGN.SIGLIM34080202077;34080202077;Villa de Ves;ES4;ES42;ES421;02077;95921356,100600004196167;45696,294208699997398;57,535263870300000
ES.IGN.SIGLIM34080202079;34080202079;Villamalea;ES4;ES42;ES421;02079;214377516,513999998569489;82170,873021899999003;127,989712811999993
ES.IGN.SIGLIM34080202082;34080202082;Villatoya;ES4;ES42;ES421;02082;31496920,952799998223782;28050,934029100000771;18,823709700500000
ES.IGN.SIGLIM34081616013;34081616013;Algarra;ES4;ES42;ES423;16013;71562704,685100004076958;47059,217118799999298;41,912978966499999
ES.IGN.SIGLIM34081616014;34081616014;Aliaguilla;ES4;ES42;ES423;16014;175718064,437000006437302;53508,590858499999740;103,804156824000003
ES.IGN.SIGLIM34081616062;34081616062;Casas de Garcimolina;ES4;ES42;ES423;16062;66020701,950599998235703;42727,964696199996979;38,685415131600003
ES.IGN.SIGLIM34081616113;34081616113;Iniesta;ES4;ES42;ES423;16113;390172685,393999993801117;200812,335461000009673;232,298388291000009
ES.IGN.SIGLIM34081616125;34081616125;Minglanilla;ES4;ES42;ES423;16125;184427387,780999988317490;67398,019396100004087;109,642981688999996
ES.IGN.SIGLIM34081616126;34081616126;Mira;ES4;ES42;ES423;16126;359726103,241999983787537;86958,386648200001218;212,860510220999998
ES.IGN.SIGLIM34081616135;34081616135;Moya;ES4;ES42;ES423;16135;156354357,351000010967255;50544,983846700000868;91,732289615200003
ES.IGN.SIGLIM34081616157;34081616157;La Pesquera;ES4;ES42;ES423;16157;121874211,283000007271767;51476,033711099997163;72,298798803799997
ES.IGN.SIGLIM34081616189;34081616189;Salvacañete;ES4;ES42;ES423;16189;206011180,101000010967255;66918,623843199995463;120,282012393000002
ES.IGN.SIGLIM34081616194;34081616194;Santa Cruz de Moya;ES4;ES42;ES423;16194;188666019,268999993801117;75345,611749799994868;110,746693883000006
ES.IGN.SIGLIM34081616202;34081616202;Talayuelas;ES4;ES42;ES423;16202;180950044,764999985694885;54246,684230099999695;106,588088463000005
ES.IGN.SIGLIM34101212132;34101212132;Vilanova d'Alcolea;ES5;ES52;ES522;12132;117532244,662000000476837;59629,756018599997333;68,409877443699997
ES.IGN.SIGLIM34101212133;34101212133;Villanueva de Viver;ES5;ES52;ES522;12133;10163636,017500000074506;17022,723488999999972;5,947178271090000
ES.IGN.SIGLIM34101212134;34101212134;Vilar de Canes;ES5;ES52;ES522;12134;27427239,203899998217821;24351,985220099999424;15,910366999800001
ES.IGN.SIGLIM34101212135;34101212135;Vila-real;ES5;ES52;ES522;12135;93863489,809900000691414;44715,431280199998582;55,123423151499999
ES.IGN.SIGLIM34101212136;34101212136;la Vilavella;ES5;ES52;ES522;12136;10444190,381599999964237;15480,950833999999304;6,145910161140000
ES.IGN.SIGLIM34101212137;34101212137;Villores;ES5;ES52;ES522;12137;9233830,397199999541044;13967,760525699999562;5,305171433370000
ES.IGN.SIGLIM34101212138;34101212138;Vinaròs;ES5;ES52;ES522;12138;165231076,710000008344650;71725,554364800002077;95,409096912999999
ES.IGN.SIGLIM34101212139;34101212139;Vistabella del Maestrat;ES5;ES52;ES522;12139;259927411,296999990940094;98760,342985900002532;150,993678761000012
ES.IGN.SIGLIM34101212140;34101212140;Viver;ES5;ES52;ES522;12140;85010736,241899996995926;43198,335431899999094;49,925732720600003
ES.IGN.SIGLIM34101212141;34101212141;Zorita del Maestrazgo;ES5;ES52;ES522;12141;120027494,605000004172325;55139,066540899999382;68,832238790100007
ES.IGN.SIGLIM34101212142;34101212142;Zucaina;ES5;ES52;ES522;12142;88320312,402700006961823;44391,026674300002924;51,569260813600003
ES.IGN.SIGLIM34101212901;34101212901;les Alqueries/Alquerías del Niño Perdido;ES5;ES52;ES522;12901;21443884,813400000333786;22982,953378499998507;12,609316446399999
ES.IGN.SIGLIM34101212902;34101212902;Sant Joan de Moró;ES5;ES52;ES522;12902;49835037,431800000369549;39417,189406500001496;29,151638084500000
ES.IGN.SIGLIM34104646073;34104646073;Bolbaite;ES5;ES52;ES523;46073;67060142,994199998676777;47052,120624100003624;40,387410947900001
ES.IGN.SIGLIM34104646074;34104646074;Bonrepòs i Mirambell;ES5;ES52;ES523;46074;1774683,185419999994338;6132,311972589999641;1,054705831730000
ES.IGN.SIGLIM34104646075;34104646075;Bufali;ES5;ES52;ES523;46075;5272671,855589999817312;16428,866258099998959;3,191835494630000
ES.IGN.SIGLIM34104646076;34104646076;Bugarra;ES5;ES52;ES523;46076;68013192,103000000119209;40602,720223900003475;40,308570715999998
